,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B
1083,212,10.77,401,7.73,2.41,21.11092755073573,15.44,1.28,6.36,1.179196134075548,25.635667650251268,2.4063663477307013
1084,110,37.96,543,7.67,0.6,22.679095332764707,24.16,0.58,5.42,0.0939661233463216,18.27333431534122,0.8580549230934567
1085,216,17.44,212,8.27,1.38,11.270896118871883,19.83,0.64,5.48,0.9684155457661412,11.01734823930685,2.6882378162800133
1086,218,32.83,484,7.87,1.53,14.760532202135913,22.47,1.42,8.2,1.9841241129991365,24.815308127730248,0.1976140040616933
1087,179,24.11,648,7.2,0.76,4.092111311600598,28.48,0.96,6.16,2.9443897203819263,17.24428219571266,0.4737495389621054
1088,198,25.14,699,7.02,0.87,23.78893016467374,23.15,0.34,6.46,2.571888223062825,25.62304901111,1.5437239410221797
1089,241,40.01,645,7.19,0.54,5.636953663064297,28.61,0.44,6.26,0.1591332464114003,19.615762102889505,1.6491872202975746
1090,245,37.45,409,7.47,0.62,22.631289401829505,14.22,1.02,8.7,2.7227825716972798,24.34028506754331,1.8406142299104933
1091,207,32.83,212,8.19,1.62,15.626554910917603,29.22,0.64,6.4,2.384771350964974,18.599610860496604,0.1068347969106874
1092,268,18.47,392,7.7,2.17,14.624909397604732,31.12,0.8,7.48,2.376502042062973,12.90281759718193,2.7106122979570797
1093,194,23.6,284,7.2,0.42,12.353255413294557,12.09,0.98,8.42,1.4319275738804649,29.70094761311839,0.1830631359462374
1094,392,65.66,396,7.89,0.47,5.613008500054432,14.65,0.66,6.84,1.256155508356693,16.825006050507515,0.4548509895165905
1095,187,32.83,274,8.16,1.46,4.319019964931647,21.45,0.78,9.48,0.9775430854812543,18.80121522771723,0.0986800683719172
1096,290,34.37,474,7.55,2.43,5.36962039677719,27.09,0.78,8.06,0.2824859367362917,6.920863181521605,1.6245292758917014
1097,282,68.22,380,7.6,0.93,4.555874465247682,32.51,0.48,6.92,0.7587296150365384,19.43635288540857,2.633056599621883
1098,188,39.5,751,7.82,1.29,18.732068918245403,17.04,0.46,8.2,0.8125486504856122,17.766960292528136,1.8980141783820808
1099,359,53.35,383,7.77,3.03,8.467993694084848,22.72,0.76,7.42,1.5083458142508908,5.819658112583601,2.3305346130059794
1100,306,39.5,574,7.62,0.85,1.4824399698651731,17.13,0.84,7.4,2.2800121113283134,1.9506454372386093,0.096656121545681
1101,299,57.48,483,8.06,0.77,23.26155286036539,19.34,0.28,5.2,1.4782627972059836,18.77865938598928,1.5559622238040438
1102,179,36.42,796,7.32,4.27,21.222482650625874,33.79,0.76,5.52,0.2594842368801806,23.7004542002314,1.3283938179152404
1103,265,32.32,319,7.72,0.66,22.27327956836559,12.66,0.64,8.48,2.896324116895437,16.277868347780835,1.4371515260493888
1104,235,49.36,293,8.09,0.85,23.8782969612498,28.17,0.8,6.86,2.852182254945749,7.1150063961238565,0.2593083915251187
1105,359,43.09,628,7.65,0.88,4.2560964563457455,10.94,0.66,8.16,2.3906053614248366,20.698863860047847,1.9490415965512888
1106,187,20.52,329,7.49,0.53,9.570184251773544,31.32,1.0,5.1,2.9945907515831665,2.5844658949706134,1.448888345009831
1107,191,17.44,380,7.02,0.41,18.221899569327785,12.77,1.02,6.16,1.6853332351047705,13.758243141332375,2.1718108256170883
1108,181,21.54,586,7.24,0.48,16.734892771485633,31.44,0.98,6.16,2.910911266241894,5.1563991669272,1.3994021500103344
1109,375,15.9,504,7.45,1.38,3.778112161522536,14.98,0.72,6.16,0.3115227690070797,5.807940087239797,0.4722933159849525
1110,284,17.44,785,7.19,0.43,19.598411687275764,32.34,0.68,5.88,1.161444592405818,6.358860089496911,1.8491891932547888
1111,218,59.5,402,8.11,1.13,5.464129666896189,24.37,0.64,5.76,0.7503671152598239,12.055380992088477,0.5357863594102588
1112,293,27.7,693,8.03,1.22,5.449240994260691,29.04,1.2,7.12,0.6637909365134111,1.6900298516140828,2.467808994859289
1113,307,61.56,430,7.32,0.45,12.933688707152584,13.63,0.56,8.0,0.5025526402555409,12.397839390299843,1.7522008198311063
1114,273,56.94,254,7.17,0.52,14.271264442716705,29.01,0.58,7.42,1.9136719697883704,15.916643041373108,0.4938827186171937
1115,281,48.06,156,7.54,0.85,13.964060367323686,23.27,0.64,7.84,2.379273037339604,15.038960462609785,2.7160530386481305
1116,232,28.73,411,7.75,0.38,2.2865354138063414,17.08,0.98,6.42,1.784414310301657,11.934200861449922,1.490688678805485
1117,306,75.92,313,7.81,1.33,21.07131461686609,25.13,0.66,5.48,0.5206007390934544,26.031238723305545,0.2611997271657678
1118,213,41.55,360,8.1,1.8,6.447841017870074,21.88,1.24,9.48,2.4665926459050698,4.599141528869373,1.7900588161855857
1119,251,21.59,485,7.75,0.44,3.19540661865902,19.08,1.2,7.32,1.9533472919897248,15.730972415406642,0.7588289833553561
1120,339,47.19,493,8.14,2.72,21.34107910886856,24.26,0.74,8.48,1.227325518952097,2.026459369787962,2.2781939271813547
1121,347,28.21,298,8.05,0.35,22.940070807691107,26.81,1.04,5.88,2.0652017659206647,2.307998920538632,2.317188923042686
1122,202,21.03,148,7.57,0.83,20.70485005264427,23.15,0.76,5.7,0.8515215891815002,17.836716096525503,2.7618947021588665
1123,199,18.98,491,7.91,0.58,19.447434185924585,22.95,0.3,7.42,1.1014131708880368,17.594309144784788,1.44515990562763
1124,209,19.49,333,7.88,2.5,15.760283337272618,21.43,1.4,5.78,2.778233520376731,27.23245521176528,1.3156809880485545
1125,229,33.34,251,8.1,1.51,13.265491157558428,18.18,0.74,9.4,0.9411782016172616,17.34271784113966,2.1395926710322866
1126,168,57.96,294,7.97,2.95,2.1789835618827023,19.52,0.72,6.86,1.4670656257027543,29.75794462030582,0.4256190115037173
1127,262,36.42,207,8.54,0.37,9.8620317923897,16.86,0.42,7.42,2.6981135325703227,1.6141838670738309,1.569486818069023
1128,259,76.43,581,7.64,2.16,9.007255556594304,24.83,1.36,5.76,2.1636235562838557,3.1374573828770917,1.5676433763611486
1129,307,29.24,300,8.31,2.67,6.308115431871796,19.31,0.56,6.86,0.272255452662579,1.4711944639090813,0.3069458189566687
1130,306,34.37,566,7.72,1.14,17.38974071715718,30.72,0.76,8.68,0.5215979197373831,5.833201906803052,1.2136360759990814
1131,266,30.26,861,8.01,0.93,11.95143006838262,19.64,0.8,6.42,0.1129758609617162,16.829833726988436,2.415066044045477
1132,251,53.86,151,7.65,0.98,2.037004560192785,26.05,0.96,5.22,1.938600845371449,20.05172468429325,2.422983996705262
1133,287,36.93,216,7.83,0.62,5.36237852660049,18.86,1.04,6.02,1.4016831364525255,1.5181255290343794,0.3338959551783195
1134,359,54.37,305,7.51,1.13,16.429884451464343,32.29,0.48,5.04,0.4834253131436673,29.33104078733056,0.3103896363840131
1135,158,20.01,711,7.87,0.93,1.9195275418181743,23.88,0.74,6.68,2.896746974696337,26.12448848473027,0.7850395165253414
1136,252,60.53,204,7.59,0.33,20.443845245765573,12.75,0.48,8.56,1.6419029911606664,9.272359573832606,2.474354332649022
1137,190,15.39,438,7.67,0.38,11.934001995633984,22.44,0.62,8.54,0.7987473517507653,2.4943228086955958,0.415771134802857
1138,251,38.98,527,7.87,1.29,11.586019198106886,14.57,0.52,7.46,1.5567684634832932,5.357811691736679,2.0471911752517515
1139,196,35.91,204,7.93,1.06,14.258546053362467,12.95,0.58,7.32,2.081287574913866,4.031312940891106,0.3392171101321649
1140,213,22.57,457,7.61,0.61,19.809875085611065,19.65,0.76,8.86,0.3133809086625439,3.918235942544468,1.779860476343998
1141,182,29.75,314,7.9,1.26,8.412640068862412,29.7,0.44,7.12,0.8948821780903236,16.12837056288452,1.0427457455688396
1142,142,19.49,564,7.43,2.79,16.30458604616162,31.5,1.08,7.42,2.4544088882901014,7.704227498621136,2.2374025377857927
1143,119,14.36,206,7.63,2.56,13.620993939499405,24.83,0.66,8.38,1.4368180702797977,11.172935843585272,0.7049856387580036
1144,220,21.03,442,7.65,0.73,6.481975657049169,23.38,1.4,8.8,1.6914710261546242,30.67581974824172,1.824197049116289
1145,227,58.99,960,7.86,0.78,21.09925667388828,19.68,0.42,7.56,1.358150886473745,21.2484671493039,0.7104837954294425
1146,246,51.81,816,7.92,1.08,19.15848191640558,31.14,0.74,6.46,0.218626831944005,29.424012805081876,2.0297023813895443
1147,353,75.41,444,8.31,0.47,15.836998848336368,10.54,0.28,6.86,0.5756468548730569,4.513571984972941,2.4713513753876666
1148,182,22.57,175,7.75,1.5,20.428903325352383,28.17,0.39,6.48,1.3954370015137405,11.914288377578064,0.4099729655898577
1149,298,13.34,333,8.19,1.71,20.82833140293928,34.32,0.64,6.16,0.7029134136452285,17.245665403391925,2.451804100523589
1150,210,52.32,544,8.33,0.54,17.02987514348933,10.74,0.32,6.86,0.2364385539728587,2.481056531743117,1.6982677021834622
1151,210,40.52,680,7.91,0.58,20.10461854789176,34.49,0.28,5.22,2.5618935156718434,0.2393501336676184,0.4108249547929861
1152,320,27.19,785,7.89,0.55,16.76956793389588,16.98,0.32,5.48,2.9648941104508597,20.81971657098678,1.2400155207928052
1153,199,31.8,350,8.11,0.54,16.35536444507118,22.19,0.4,9.02,2.4139086208104463,19.935804873996336,0.5039744100188701
1154,310,12.82,188,7.84,0.92,14.884811939342905,17.62,0.44,6.22,2.5915898205946744,12.799266340888009,1.992960173271732
1155,220,55.4,917,7.68,2.28,18.089927685427625,24.34,0.42,6.3,0.7989929918289429,15.235105508629488,2.154476050993541
1156,144,19.49,704,7.69,0.81,3.890662016504461,25.59,0.9,6.3,2.9046370382536755,12.943034288289647,0.3519983959529251
1157,180,17.44,289,7.62,0.21,21.15281114485439,28.99,0.74,6.35,0.6669923140485452,0.8515158352586167,1.4569459934372184
1158,183,31.8,177,7.89,1.7,20.937060313111044,32.24,0.78,7.52,2.8776893443601685,10.469628916057411,2.308365154631532
1159,216,11.29,476,7.9,1.08,0.7990100645259636,28.79,1.22,8.08,3.0048205313202367,5.580070869222284,2.6438099946807503
1160,180,20.52,156,7.66,1.58,19.83702033849783,10.76,0.86,8.36,2.1753478208359227,3.1503232013412803,1.4773093122072851
1161,256,23.08,202,7.55,4.84,3.17998983261534,27.32,0.58,5.92,2.9647511341500383,29.66309420284201,2.682770657167483
1162,227,26.67,384,7.59,0.62,8.10934061679349,31.43,0.7,8.16,1.758751554131614,18.624221906552496,1.538501558458642
1163,198,49.76,439,7.87,0.26,17.869847325369427,19.97,0.42,5.84,0.8504574247059447,22.61819262006865,1.147965765095746
1164,340,52.83,403,7.55,0.77,3.9421615155545657,25.53,0.6,7.08,1.3703979450002692,9.851586029490369,2.4010406348059914
1165,179,23.08,308,7.74,1.2,19.649411876445587,17.18,0.34,6.48,1.829133540659843,12.254314830070127,1.4206322808643257
1166,151,38.47,380,7.58,0.48,19.988006853190036,31.01,0.72,5.22,0.3041289767391539,7.428582171469788,1.3624509291580835
1167,315,34.88,190,8.41,0.45,12.228478836883983,23.15,0.8,9.4,1.9134657653285312,3.1052695761219704,1.413262470771126
1168,297,44.11,307,7.45,1.35,0.2526223340323226,30.81,0.44,9.16,2.964851061713523,5.640287280570524,2.397126605160497
1169,388,26.67,827,7.68,0.69,6.960211382880415,30.06,0.44,5.28,0.647015413866322,24.745208859208446,2.356158655059024
1170,333,34.37,489,7.69,0.83,14.844553349180238,11.73,0.38,5.22,2.412303690724963,21.039389922126837,1.173715179134983
1171,177,26.67,473,8.0,1.16,23.55034965485542,28.3,0.48,8.0,2.7501434657742845,17.00463297919138,0.979907613242649
1172,227,19.49,421,7.96,0.37,15.200343295698373,34.32,0.74,7.56,2.855045666963247,14.785526172854466,1.4177213463479967
1173,305,30.26,613,7.58,0.79,6.3093055874334185,34.01,0.32,6.45,2.90319732090796,28.603995022137685,1.640852126874421
1174,220,33.34,837,7.9,0.89,15.25273630408071,32.03,0.46,10.92,1.617876741453913,2.356782536883067,0.7178107013332715
1175,198,17.44,309,8.01,0.3,13.005650575208945,27.65,0.62,8.72,2.953512170415106,8.777759120919225,2.25131603381503
1176,138,25.65,177,8.1,0.64,18.738304944112333,31.12,1.04,5.28,2.308918906903906,10.919580296799356,1.4026924334214872
1177,273,14.88,657,7.61,0.69,2.6568372679643057,30.24,1.12,8.2,0.5636973081742984,24.27913333925301,0.9819657136390884
1178,183,36.42,281,7.97,0.91,18.28856686979847,24.63,0.84,6.76,1.4873173119511522,30.768776616803294,0.354825940580614
1179,196,21.54,254,8.04,0.97,13.036271230359034,34.06,0.38,8.08,2.194710343839972,7.544312200848458,0.7192126427139551
1180,462,15.9,242,7.5,1.05,23.11550889222997,33.96,0.58,5.78,0.8147071253499142,27.11735355149442,2.6800160340465147
1181,323,58.48,805,7.54,2.32,8.270744768324597,29.98,0.32,5.76,1.96700248779824,25.767937069738032,0.9020751356218932
1182,177,29.75,732,8.16,0.47,15.21966324590136,23.41,0.3,6.18,2.0431394036065944,7.049667013154171,0.5260516386530174
1183,373,35.39,261,7.91,0.49,22.37547172168942,33.73,0.4,6.18,0.5667102493590981,12.445383402353984,1.3314569049677811
1184,257,29.24,438,7.74,0.68,2.549982498977234,28.91,0.44,6.24,1.745699965486576,12.764794932445914,0.9075621716742864
1185,307,79.51,649,7.83,1.58,22.499760844951183,31.35,0.54,6.46,2.3508668491673204,30.327236450785385,0.1570395307484958
1186,174,46.17,216,8.6,0.29,16.54046876298944,37.19,0.76,7.48,1.55176429709031,5.69775083359417,0.9518807996911915
1187,331,11.29,640,8.02,1.28,1.7213057126136084,33.1,0.7,5.52,0.1254621321539947,24.79598972742672,1.5617398020729332
1188,144,12.31,879,7.58,0.49,7.293029250028908,30.18,0.76,5.76,0.116482714402326,10.433212940807364,1.5827261467751086
1189,210,33.86,316,8.17,0.35,17.02531291862223,29.83,0.82,6.56,1.1360959778321358,22.686584981025597,1.0441026224482128
1190,298,24.11,422,7.81,0.76,1.7096793751036437,32.34,0.56,5.48,2.803748620505121,13.084139922693025,1.2945556072571778
1191,227,30.26,263,7.9,1.6,14.01387399821293,12.99,0.44,7.92,0.7600229642385737,17.975533082669923,2.724829454327955
1192,152,25.14,620,7.81,0.52,8.366605061175665,22.03,0.76,8.06,1.948685608394044,25.82937767804419,1.10148179715566
1193,289,13.85,911,7.95,1.15,14.939880874642702,23.23,0.62,8.9,0.7406823011314293,24.95067430235218,0.7727060045975529
1194,224,30.26,316,7.79,4.89,1.1932346081190572,30.39,0.82,9.44,1.0324930697024777,26.87381213954134,0.7319690416242579
1195,215,19.49,542,8.2,0.73,20.929729667041794,24.01,0.28,5.46,2.574763322532348,1.9515791798965172,1.32343033106341
1196,199,27.7,398,8.4,0.94,23.366386363339785,11.2,0.44,7.6,2.2255640258509444,21.48744158339772,2.1562756104587657
1197,306,18.47,634,7.76,4.17,23.256180741328027,20.34,0.78,6.56,0.3695198825277072,4.434210066935256,0.6285273883601861
1198,232,29.75,360,8.16,0.28,18.0166787786559,16.71,0.89,7.56,1.3460969214902507,12.954635566088715,2.01765731090852
1199,278,44.63,363,7.67,0.67,3.209061139122104,33.23,0.6,10.12,0.1754674074806249,17.055896141039327,0.1183735124443889
1200,298,40.01,445,7.65,1.76,18.22249038270364,19.16,0.6,5.42,1.4990081295468165,12.550622683829602,1.216255019235691
1201,250,25.14,574,8.15,0.56,0.687627303365356,16.07,0.74,7.28,2.0309316542841294,16.160804665554902,2.201387579959692
1202,169,39.5,642,8.0,1.22,0.6287528815430343,22.09,0.26,5.2,0.4372126871425841,30.892697678789347,0.9949029579374308
1203,229,16.41,579,8.31,0.88,7.834284237674035,13.68,0.8,9.25,0.9364328710038554,4.286862820590083,1.6159143999893024
1204,246,29.75,379,8.19,0.48,11.77857225067151,25.82,0.26,9.42,1.25566131272132,20.974837240442184,0.6257426825995138
1205,318,20.01,519,7.9,0.55,18.512737285606256,33.59,0.36,8.18,2.784225902242225,12.342469851651654,2.107907279508236
1206,183,64.12,515,8.06,0.85,16.430759500895473,24.69,0.3,6.22,3.000237195189285,4.218672688247387,0.2042903250217765
1207,243,30.26,606,7.51,1.33,10.757074682404284,32.98,0.7,9.2,0.2215901060571544,5.013378620632422,2.413017699856381
1208,289,74.89,423,7.31,1.62,6.639677324131814,28.3,0.64,8.76,2.319753215841499,29.433046251927102,0.607022026523804
1209,179,28.21,308,7.58,0.28,23.931275553769296,30.59,0.6,5.22,1.1791515145588658,27.28089023342633,2.473338567514993
1210,310,78.48,732,8.1,0.99,10.285733123439751,11.58,0.38,8.02,1.2399024856523766,28.128526157220023,1.0329807059894278
1211,455,22.06,810,7.84,0.53,10.888149881479244,20.18,0.38,9.8,2.2999963719067766,30.73844744530797,2.0546066655495827
1212,205,19.49,499,7.02,0.4,4.0106093264808935,24.55,0.58,8.12,2.780989446186047,6.54486239736312,0.94106182188988
1213,198,20.01,839,8.33,0.61,19.09594821512331,16.52,0.28,5.26,2.8762207818924668,11.089521131175866,2.5603162126076278
1214,172,23.6,489,7.33,1.1,16.679005196177577,30.01,0.48,8.18,1.78096917709228,20.78217583437913,0.4095184664307132
1215,459,23.08,454,7.98,0.3,5.376393745651373,19.78,1.06,4.04,1.1363649967504734,15.054660456295393,0.5527146183923723
1216,245,29.75,573,7.62,3.93,2.06890699021864,21.0,0.44,6.39,2.3975188215662238,13.034052686056722,1.4207631454382943
1217,187,18.98,431,7.57,5.19,16.363933319585644,35.64,0.56,8.88,0.8254340529585398,11.162789491976469,0.2861500917452833
1218,227,13.34,848,8.33,0.68,15.742818021319133,14.12,0.48,10.6,1.7427369044822072,18.45188372073324,0.6009053097768629
1219,171,13.34,516,7.89,0.81,6.630902695257202,29.34,0.8,7.48,1.1406348922678784,17.890081010692132,2.66479521490516
1220,291,18.96,688,8.02,0.6,22.82563913778481,23.22,0.56,7.8,2.013929045964077,5.0974324942443765,2.7551114647681683
1221,193,27.19,633,7.82,0.88,3.710283613563516,28.73,0.64,5.76,0.7943688147779753,14.682043580944583,1.0984757489519643
1222,247,27.7,430,7.92,0.45,10.432801744918184,10.91,0.44,8.2,0.6513673310030395,17.206743167122262,2.608269417998462
1223,235,34.88,465,7.68,0.49,22.65242049200561,13.33,0.38,7.8,2.780440523959031,17.726163537412653,1.5637161048586716
1224,331,38.98,560,7.32,1.84,10.131482874534322,35.16,0.48,9.48,0.3882847910421431,6.600211189062548,0.8044892058115969
1225,218,45.65,333,7.58,3.2,15.360770149171644,11.65,0.48,6.46,1.57245666966335,23.03876330667314,1.998620470182452
1226,196,23.08,387,8.0,0.87,9.602506111310785,27.51,0.76,8.2,0.7370986540816161,0.888400039022841,1.8785689861466055
1227,235,18.47,700,7.69,2.43,6.653743336133213,20.81,0.62,7.94,0.2040647925442056,11.070756017728296,2.789985880740104
1228,203,32.32,294,7.98,1.07,23.61706578623989,31.96,0.34,7.22,0.1955351375938793,24.21076871326572,0.7915305132496218
1229,258,36.42,325,7.6,4.26,9.883082750929526,21.04,0.4,7.92,0.6033997922700741,17.52865233140138,1.9148842273463895
1230,453,36.93,341,8.06,0.45,21.468970967931316,12.49,0.52,5.72,2.6296371387025808,8.177307540260472,0.2035855638812734
1231,223,26.16,273,8.04,0.65,5.595915080796959,25.84,0.38,8.18,0.917662719852688,21.577101856506744,0.3736630668029455
1232,345,15.39,137,8.29,0.56,5.19320242619949,28.1,0.86,9.72,2.8748453697856164,17.636706264981107,0.0708147148650174
1233,159,37.96,199,7.86,0.71,0.8441045809398214,34.7,0.52,5.66,1.7941533184583374,24.7059650961078,2.8185114797246977
1234,286,21.54,493,7.6,0.59,15.674837126483652,16.63,0.4,5.66,1.3692795760224847,22.814928001403644,2.2742754041270383
1235,202,20.52,263,7.2,3.69,8.90777961499789,35.11,0.96,5.46,1.7896602855815025,18.956233711699287,2.2313555206645725
1236,203,25.65,605,7.85,0.32,20.758162171167324,12.79,0.38,7.38,1.6039262687129647,15.189808390351043,1.466843967795376
1237,210,72.33,294,7.64,1.99,11.409716769928217,30.1,1.4,9.42,2.313214423508963,4.223995861869798,0.8881851488190142
1238,293,49.76,339,7.75,0.6,23.23982292716185,14.55,0.28,6.4,0.9177134733004572,8.182576922479504,0.4774894251169855
1239,179,48.22,516,7.58,0.97,4.5340598253045945,12.84,1.12,7.7,1.1244376473888862,13.055982718408764,0.8457022792162396
1240,293,53.86,630,7.61,0.89,20.860093714139097,32.51,1.5,9.22,2.7096963064224244,18.622354975627346,1.097680572524424
1241,399,40.52,423,7.78,0.52,18.660664781722627,34.06,0.62,5.42,2.863117583530688,15.978435647600763,2.1474158676656114
1242,227,16.93,421,7.58,0.36,18.525032086992844,12.19,1.1,6.96,2.70519560653537,9.012020006889864,1.5494665373727006
1243,387,14.36,516,7.6,0.49,20.29031915199361,28.31,0.48,7.36,1.318982622294929,0.3096840121241589,0.2738548092931322
1244,293,31.29,590,7.47,0.9,18.288473383537674,32.62,1.1,9.02,2.376470923810164,15.438829564516142,0.1097600647265977
1245,238,16.41,437,7.52,6.29,15.066665686990827,28.36,0.52,6.82,1.4856636985722196,8.932986786687689,0.3424368155140143
1246,205,21.03,249,8.07,0.53,3.236752576609063,24.45,0.56,8.58,1.5477917667880796,22.80205040894843,1.192976449804767
1247,279,41.55,509,7.56,6.36,0.8773756898409207,20.87,0.3,6.08,0.689712719537842,0.849700134205235,2.6356124510552905
1248,252,15.9,513,7.61,2.31,22.10826356279492,33.66,1.18,5.16,1.8220117885474532,18.17533109123588,1.8192308481374515
1249,304,88.23,232,7.92,0.53,14.837942517045638,33.1,1.22,6.86,0.6353781804173094,29.19213919656236,2.2730394836564214
1250,235,10.26,504,8.61,1.2,19.13724125433061,16.88,0.44,9.2,1.061484568266878,5.49750226107422,1.347193880832554
1251,274,31.8,516,7.62,4.67,11.608384201149946,20.01,0.96,8.46,2.59523849074641,14.67925276928589,1.058198389618318
1252,453,22.57,636,7.2,6.59,2.903665716201228,20.43,1.42,7.32,0.6967321209878058,2.934025327231398,0.3591850286978787
1253,271,42.58,694,7.64,2.09,3.0919404336409557,32.88,0.38,5.1,0.2984937755581581,19.43731426975318,2.4775751412339253
1254,363,17.95,183,7.8,0.42,16.485010364772418,12.21,0.94,7.12,0.2921922463555517,17.115923613617408,2.221521680117012
1255,373,15.9,558,7.48,0.6,10.384310888097158,27.7,0.66,5.5,2.846498645074106,12.69352104293439,0.5240059493697213
1256,224,27.19,491,7.64,1.12,4.892540968138047,11.6,0.52,5.52,1.5752768832281756,16.215336193323864,1.473839156298479
1257,205,27.7,673,7.54,1.13,11.84910966712034,21.33,0.48,7.6,1.2895773704238638,27.805191200107725,1.405154469862636
1258,259,60.02,720,7.65,0.96,1.6345935960957048,21.12,0.98,5.86,2.465874242353201,6.173530998388861,1.785252685414819
1259,205,11.29,508,7.26,0.71,14.009116505754127,29.47,0.6,5.36,2.538969968777812,0.807017766578176,2.6714758274158807
1260,255,52.32,568,7.74,1.91,6.528942365998834,10.99,0.26,5.45,1.0633197270287216,26.72682828835523,1.6601691792644435
1261,265,38.47,402,7.65,0.42,19.1616625052288,23.07,0.56,7.58,2.12230090839822,17.93714667496243,1.5509996563089872
1262,224,34.37,456,7.75,1.9,7.517650818273412,14.09,0.3,6.08,2.349389850446028,27.62243968921631,0.1988912948996724
1263,259,19.49,926,7.91,1.29,10.979761563055048,29.6,1.02,6.6,2.0081265125172467,18.5496379512329,0.233624633809746
1264,232,41.04,718,7.67,0.51,0.3777309038036052,23.08,0.92,6.98,0.5341735691642912,25.13587606885521,0.5770771440619373
1265,227,23.08,675,7.63,0.67,1.8314806182899568,26.83,0.86,7.9,2.656337434704977,13.38261019404052,0.1496193298692252
1266,252,67.2,97,7.96,0.88,9.480595998119766,12.66,0.74,7.48,1.6695470395165055,23.27317327749462,2.111653991773234
1267,177,17.69,536,7.77,0.53,11.570538149739251,25.41,1.24,5.92,0.9176442092641108,28.31385091222765,2.056391639023338
1268,265,61.56,368,8.47,0.61,14.440491100051355,26.45,0.76,8.44,1.3359185833324434,17.78287834937895,0.4355152070313345
1269,334,13.85,587,7.25,2.17,7.070735631152346,26.81,0.48,7.48,0.2000832948687986,5.6944533008719045,2.3675777661949757
1270,259,21.54,822,7.69,0.44,16.710067078424366,19.57,0.82,7.68,0.4646497275816834,8.41315832828282,0.487209456175269
1271,238,17.44,472,7.87,0.48,20.656925292821988,36.66,0.92,6.84,2.333051979011472,6.246130980360865,0.8912446201127102
1272,254,12.31,675,7.51,0.54,18.73843863455106,33.25,0.3,9.02,0.0900340898332228,7.73541358243219,0.7471762416853673
1273,223,25.14,417,7.65,0.51,1.0468899258257358,19.27,0.4,5.34,1.3105378774531162,9.575173230453514,1.087567592061612
1274,372,33.86,520,7.55,1.98,11.58411603946211,36.89,0.88,8.82,1.6209548305807744,17.25808267280599,0.7628719938562947
1275,237,11.29,473,7.81,1.87,2.6078312641943797,16.57,0.38,6.9,0.2500788506028488,18.273061434137794,1.4095045569701277
1276,194,15.39,521,7.91,1.25,5.884875879114406,23.58,1.02,7.72,2.9411190175089352,13.28457719230109,1.1844457525389318
1277,166,34.88,698,7.63,0.53,23.6812359790848,23.74,0.46,8.38,0.7525472205615388,19.12034788866561,2.782931794550941
1278,177,35.39,749,7.97,1.76,3.505643475346166,12.95,0.48,8.38,0.9813022485343028,2.629849452135093,0.2143567263539028
1279,282,18.47,450,7.87,0.36,12.023426867487409,14.14,0.54,6.66,0.98055156090723,2.821778642726561,0.4524205988290904
1280,257,41.55,503,7.54,3.27,14.873922050203046,35.31,0.32,5.88,0.7651208200038352,5.4178120304480695,0.2057994671877428
1281,309,12.31,453,7.68,1.82,16.888912796004085,22.87,0.56,8.6,0.0943182987128924,16.11341391446625,1.787321698151357
1282,222,31.29,524,7.46,0.93,13.475603535337246,34.12,0.28,7.26,2.226980246677829,6.720295624990906,0.210445605661866
1283,149,55.4,133,7.75,0.42,0.3335232533184894,33.15,1.02,6.48,2.9228573144119063,8.860655223885713,2.3685736751581
1284,230,39.5,444,7.84,0.97,7.902425267031405,36.51,1.02,9.24,0.747179906025182,12.475663509383786,1.4729506206821206
1285,437,14.36,141,7.59,0.66,12.473308276894604,12.79,0.32,6.16,2.032728271984028,25.188544570680637,1.514541043845033
1286,218,45.65,259,8.02,0.97,2.2000093295615173,36.51,0.68,9.24,2.263756237989035,0.5382013783482491,1.610000841285656
1287,282,33.86,833,8.38,0.57,8.479983655899419,23.64,1.06,8.14,2.5758863607352374,20.169311757109263,0.5314458294051416
1288,364,34.37,290,7.73,0.61,0.8935543001136608,26.73,0.94,6.96,1.328303547249875,20.77159604384677,0.6056252365959855
1289,278,32.83,841,7.97,1.07,1.978026082004996,35.39,0.96,7.2,0.9775875535264577,24.7804770552165,0.9399358111294928
1290,204,22.06,329,7.69,1.08,9.586466301218143,31.28,0.48,9.18,1.0431147426874812,28.922738287573075,1.69805010766831
1291,359,34.37,469,7.43,1.25,3.2719065216291425,17.85,0.36,8.46,2.177980505978643,0.7320581540435628,0.6399250615949921
1292,215,41.04,504,7.44,0.58,13.664226273451238,38.3,0.9,6.44,2.4831638368615137,4.860378663303249,0.381075566887801
1293,319,29.75,333,7.55,2.63,16.57821276238065,28.71,0.66,5.14,0.6221289255268457,27.483831273389622,2.737522606514873
1294,196,45.14,612,7.68,0.59,19.23402210870708,11.6,0.78,6.92,1.176857153902252,14.273638385956904,0.1206698088745592
1295,237,37.96,449,7.72,0.37,4.883590837450961,29.06,0.46,8.92,2.732684776475009,17.550204836654686,2.27544483872742
1296,470,84.13,582,7.66,0.82,4.102833715991767,26.71,0.96,8.42,2.453612012705586,20.59091032300802,2.234977012827061
1297,378,32.83,969,7.69,0.54,2.599171383992166,17.85,0.44,8.68,2.9756351200940543,21.08636741287024,0.880310954212465
1298,194,40.01,523,8.53,1.62,15.310682964092916,15.82,0.98,7.08,2.2999474008684966,28.89146105844694,0.434329460180185
